Designator,Name,Quantity,Footprint
C1,1000uF,1,CAP-D10.0XF5.0
"C2,C3,C4,C5,C6,C7,C8,C9,C10,C11",0.1uF,10,RAD-0.2
"C12,C13",47pF,2,RAD-0.2
LED1,TX,1,LED-3MM/2.54
LED2,RX,1,LED-3MM/2.54
"R1,R2,R7",3K3,2,AXIAL-0.4
"R3,R4",270R,2,AXIAL-0.4
"R5,R6",27R,2,AXIAL-0.4
SW1,Reset,1,KEY-6.0*6.0-2
U1,W65C02SP,1,DIP-40_W15.24MM_SOCKET_LONGPADS
U2,28C256,1,DIP-28_W15.24MM_SOCKET_LONGPADS
U3,62256,1,DIP-28_W15.24MM_SOCKET_LONGPADS
U4,GAL22V10,1,DIP-24_W7.62MM_SOCKET_LONGPADS
U5,74HC21,1,DIP-14_W7.62MM_SOCKET_LONGPADS
U6,DS1813-10,1,TO92-INLINE
U7,R6551_ACIA,1,DIP-28_W15.24MM_SOCKET_LONGPADS
U8,FT230XS-U,1,SSOP-16_L5.0-W4.4-P0.65-LS6.4-BL
"U9,U10",W65C22,2,DIP-40_W15.24MM_SOCKET_LONGPADS
USB1,USB-B-S-RA,1,PKG-USB-B-S-RA
X1,1 MHZ,1,OSCILLATOR_DIP-14
X2,1.8432 MHZ,1,OSCILLATOR_DIP-14
